"mindate","maxdate","Infections","Deaths"
2020-03-10,2020-03-17,0.27836879492732,0.312991105260792
2020-03-11,2020-03-18,0.233770839938382,0.273138028902085
2020-03-12,2020-03-19,0.228756256702427,0.240956516449704
2020-03-13,2020-03-20,0.232780838709319,0.234392850829697
2020-03-14,2020-03-21,0.231221453675592,0.317523379862112
2020-03-15,2020-03-22,0.221938319865662,0.342495336625781
2020-03-16,2020-03-23,0.217678048031285,0.419452286559148
2020-03-17,2020-03-24,0.210903423467806,0.441772508137744
2020-03-18,2020-03-25,0.187908507245194,0.39063355540498
2020-03-19,2020-03-26,0.176446093364023,0.359501289958794
2020-03-20,2020-03-27,0.17319039582284,0.338395027964854
2020-03-21,2020-03-28,0.170626027249991,0.332596914389379
2020-03-22,2020-03-29,0.151808346501965,0.291032905267866
2020-03-23,2020-03-30,0.13375428533525,0.264327095921344
2020-03-24,2020-03-31,0.118703131394687,0.247277693505515
2020-03-25,2020-04-01,0.10380188108264,0.23582158871485
2020-03-26,2020-04-02,0.0924968273911446,0.227556556274946
2020-03-27,2020-04-03,0.0863294484711454,0.217581608692703
2020-03-28,2020-04-04,0.0856855448975891,0.207689081359595
